"X","Y","Z","Code","Means","Std.Dev."
13.06,52.406,86,"poznan-2",8.26252465483235,7.73618449269827
16.92,52.39,81,"poczdam",8.77302761341223,7.20207017498126
21.01,52.23,106,"warszawa-3",8.28338264299803,8.12323587148092
14.42,50.09,191,"praga-4",9.77100591715976,7.56933337027865
17.03,51.11,120,"wroclaw-3",8.94753451676529,7.65252013822903
19.94,50.064,237,"krakow-3",8.69447731755424,7.98116177870844
14.55,53.42,1,"szczecin-2",8.46597633136095,7.14169757729748
15.74,50.736,1602,"sniezka",0.474013806706114,6.1730352619394
