"Code","Date","Observed","Suggested","Stand..deviations"
"krakow","1852-08-01",14.8,19.1,-5.32
"krakow","1864-12-01",-0.8,-5.6,5.71
"praga","1914-02-01",0.3,4.3,-5.09
