"Code","Date","SNHT"
"krakow","1856-10-01",26.3
"krakow","1878-10-01",101.3
"poznan","1869-01-01",105.9
"poznan","1876-06-01",84.7
"praga","1875-01-01",93.1
"warszawa","1878-11-01",70.2
"wroclaw","1876-06-01",31.4
"wroclaw","1878-08-01",117.3
"wroclaw","1891-03-01",203.2
